#TYPE Microsoft.Management.Infrastructure.CimInstance#root/Microsoft/Windows/DHCP/DhcpServerv4Lease
"IPAddress";"ScopeId";"AddressState";"ClientId";"ClientType";"Description";"DnsRegistration";"DnsRR";"HostName";"LeaseExpiryTime";"NapCapable";"NapStatus";"PolicyName";"ProbationEnds";"ServerIP";"PSComputerName"
"192.168.60.18";"192.168.60.0";"InactiveReservation";"1c-1b-0d-73-fd-16";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-017unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.19";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-15";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-018unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.20";"192.168.60.0";"InactiveReservation";"1c-1b-0d-72-fd-16";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-019unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.21";"192.168.60.0";"InactiveReservation";"1c-1b-0d-73-fd-17";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-020unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.22";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-16";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-021unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.23";"192.168.60.0";"InactiveReservation";"1c-1b-0d-72-fd-17";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-022unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.24";"192.168.60.0";"InactiveReservation";"1c-1b-0d-73-fd-18";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-023unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.25";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-17";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-024unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.26";"192.168.60.0";"InactiveReservation";"1c-1b-0d-72-fd-18";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-025unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.27";"192.168.60.0";"InactiveReservation";"1c-1b-0d-73-fd-19";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-026unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.28";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-18";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-027unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.29";"192.168.60.0";"InactiveReservation";"1c-1b-0d-72-fd-19";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-028unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.30";"192.168.60.0";"InactiveReservation";"1c-1b-0d-73-fd-20";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-029unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.31";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-19";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-030unir.msft";;"False";"FullAccess";;;"255.255.255.255";
